,comp_name,job_title,city,posting_url,salary_estimate,lat,lng,type,job_cat
10,The Climate Corporation,Data Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=b86a5ae4e905feb2&fccid=5527fa86119a4ea6&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
11,Alloy,Data Operations Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=d8c367b5dc26aea2&fccid=17deafb845ac1078&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
12,CRF Health,Data Analyst I,"San Francisco, CA",indeed.com/rc/clk?jk=1d3396454664569e&fccid=bd7c229675b4b45a&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
13,Clarify Health Solutions.,Data Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=5d8a43bf1aed3306&fccid=a43657d8af5c59dd&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
14,Opendoor,Pricing Strategy & Analytics Associate,"San Francisco, CA",indeed.com/rc/clk?jk=1759d8e32365689d&fccid=7af474979a2ce5fb&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Other
15,Health Leads,Data Analyst,"Oakland, CA",indeed.com/rc/clk?jk=cb72ed7df8819b43&fccid=25d7b54921476d73&vjs=3,Salary Estimate not available,37.8043637,-122.2711137,Full Time,Data Analyst
16,Cheetah,Data Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=ccf7a0de58a9c689&fccid=c53dfd311ee444bd&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
17,"Outsell, Inc.",Data Analyst,"Burlingame, CA",indeed.com/rc/clk?jk=ec9addf1ec06f0f7&fccid=8b149352ed482c98&vjs=3,Salary Estimate not available,37.5778696,-122.34809,Full Time,Data Analyst
18,Thistle.co,Data Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=5c0a55df2437976d&fccid=2f020fc44ab48d86&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
19,AKQA,Business Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=5a3c34152cfedb60&fccid=f3433a507ce87736&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Business Intelligence
20,Ubisoft,Data Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=9a09215cc351c955&fccid=237908de095b6446&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
21,POWr,Data Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=e9c9d35090e0692b&fccid=00348759833c2387&vjs=3,"$67,000 - $80,000 a year",37.7749295,-122.4194155,Full Time,Data Analyst
22,NimbleRx,Data Analyst,"Redwood City, CA",indeed.com/rc/clk?jk=c78556427b7167b4&fccid=9abfea0a4ca7a9c4&vjs=3,Salary Estimate not available,37.48521520000001,-122.2363548,Full Time,Data Analyst
23,Callisto Media,Business Strategy Data Analyst,"Emeryville, CA",indeed.com/rc/clk?jk=805c643a3eccac69&fccid=da2322c39a1d97d5&vjs=3,Salary Estimate not available,37.831316,-122.2852473,Full Time,Data Analyst
24,Essence,Data Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=9b71ccd5c105ec9c&fccid=26865d82c27c8d42&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
25,LendStreet,Data Analyst,"Oakland, CA",indeed.com/rc/clk?jk=f562474f264081a6&fccid=f41c06d31b0bcc14&vjs=3,Salary Estimate not available,37.8043637,-122.2711137,Full Time,Data Analyst
26,AdColony GmbH,Business Intelligence Analyst,"San Mateo, CA",indeed.com/rc/clk?jk=a558fadc24def823&fccid=09a5fef8aec8adb0&vjs=3,Salary Estimate not available,37.5629917,-122.3255254,Full Time,Business Intelligence
27,VGW,Data Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=6bda291bc8137e79&fccid=bc65d43428977d5c&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
28,FocusKPI Inc.,Data Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=c96de51c6afcb549&fccid=29efea1158b643d0&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
29,Fleetsmith,Business Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=0c19c797a186c8ba&fccid=d34a120e0c9210b1&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Business Intelligence
30,Ipsy,Data Analyst,"San Mateo, CA",indeed.com/rc/clk?jk=f9dd79f8b5da81cc&fccid=ea9c117cd72a84fb&vjs=3,Salary Estimate not available,37.5629917,-122.3255254,Full Time,Data Analyst
31,Upstart,Data Analyst,"San Carlos, CA",indeed.com/rc/clk?jk=6a8fbf6f53ca8916&fccid=655c994c77232147&vjs=3,Salary Estimate not available,37.5071591,-122.2605222,Full Time,Data Analyst
32,Nimble Pharmacy,Data Analyst,"Redwood City, CA",indeed.com/rc/clk?jk=b4255fd5c0dbe88d&fccid=01aedaae02635143&vjs=3,Salary Estimate not available,37.48521520000001,-122.2363548,Full Time,Data Analyst
33,Autodesk,"Data Science, Analytics Analyst","San Rafael, CA",indeed.com/rc/clk?jk=cb3d7973263f1684&fccid=7136762d065a5ad7&vjs=3,Salary Estimate not available,37.9735346,-122.5310874,Full Time,Data Analyst
34,Visa,Reporting Analyst,"Foster City, CA",indeed.com/rc/clk?jk=53abd17dd2fe94a0&fccid=a3f737e511d9fc8c&vjs=3,Salary Estimate not available,37.5585465,-122.2710788,Full Time,Other
35,Equinix,Data Analyst,"Sunnyvale, CA",indeed.com/rc/clk?jk=7278479b14ec61a0&fccid=e15d9e27876d9dc3&vjs=3,Salary Estimate not available,37.36883,-122.0363496,Full Time,Data Analyst
36,Abbott,BUSINESS PROCESS DATA ANALYST,"Alameda, CA",indeed.com/rc/clk?jk=c96a6e681222ffe4&fccid=7942658690eba67c&vjs=3,Salary Estimate not available,37.7652065,-122.2416355,Full Time,Other
37,Second Measure,Applied Data Analyst,"San Mateo, CA",indeed.com/rc/clk?jk=ee4c8f9d5389d7a7&fccid=85c78b1ae4ec78df&vjs=3,Salary Estimate not available,37.5629917,-122.3255254,Full Time,Data Analyst
38,Globant,Business Intelligence Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=d173155e00510b24&fccid=34ea81fd9e91a411&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Business Intelligence
39,Thunder,Data Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=bb43659bcf7b2093&fccid=f9d7048188d5497a&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
40,Social Standards,Data Analyst,"Oakland, CA",indeed.com/rc/clk?jk=24f33dd797c95944&fccid=ac00b33e434b7108&vjs=3,Salary Estimate not available,37.8043637,-122.2711137,Full Time,Data Analyst
41,University of California San Francisco,"Data Analyst, GBHI","San Francisco, CA",indeed.com/rc/clk?jk=596fcd3b5ade83fd&fccid=2a341562d64c7cdb&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data - Other
42,Vectra,Data Scientist (Entry Level),"San Jose, CA",indeed.com/rc/clk?jk=ae9d315908b8d139&fccid=22efec3ff19e9e26&vjs=3,Salary Estimate not available,37.3382082,-121.8863286,Full Time,Data Scientist
43,Castlight Health,Data Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=2710c35a4215d560&fccid=aafdb4fe9e36b658&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
44,Eaze,Data Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=6464bda779174396&fccid=dd616958bd9ddc12&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
45,Opendoor,Pricing Business Operations,"San Francisco, CA",indeed.com/rc/clk?jk=d4bcba5589d7cf1c&fccid=7af474979a2ce5fb&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Business Intelligence
46,"Gametime United, Inc.",Data Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=e7f1793824d732f8&fccid=b43299be333afd7f&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
47,"Stage 4 Solutions, inc.",Data Analyst (Entry Level),"Palo Alto, CA",indeed.com/rc/clk?jk=363112a94223bcc1&fccid=663fcf4fb2ab17e0&vjs=3,Salary Estimate not available,37.4418834,-122.1430195,Full Time,Data Analyst
48,PERITUS.AI,Data Scientist,"Palo Alto, CA",indeed.com/rc/clk?jk=7798f5ca2c72dc0f&fccid=6d1dddf9d7cdcbc5&vjs=3,Salary Estimate not available,37.4418834,-122.1430195,Full Time,Data Scientist
49,Khoros,Data Scientist,"San Francisco, CA",indeed.com/rc/clk?jk=d82a1624e0046609&fccid=6ab90e1adde2a819&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Scientist
50,Proteus Digital Health,"Data Analyst, Business Intelligence","Redwood City, CA",indeed.com/rc/clk?jk=99bc7ec19348856c&fccid=d840199808808f21&vjs=3,Salary Estimate not available,37.48521520000001,-122.2363548,Full Time,Data - Other
51,Sonder,"Analyst, Business Operations & Analytics","San Francisco, CA",indeed.com/rc/clk?jk=929826448e51668f&fccid=399da73be70a82ee&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Business Intelligence
52,DionyMed (DYME),Data Analyst,"Oakland, CA",indeed.com/company/Rise-Logistics/jobs/Data-Analyst-fba814fd7d9b8114?fccid=00040631b2a44336&vjs=3,"$60,000 - $100,000 a year",37.8043637,-122.2711137,Full Time,Data Analyst
