,comp_name,job_title,city,posting_url,salary_estimate,lat,lng,type,job_cat
4473,SEIU UHW-West & Joint Employer Education Fund,Program Data Specialist,"Oakland, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BOVQCIPB2YlHaxcnK7beA-i4KZHn_vFUfbnGgTcXdzQSjqNu1CMyDohCjrjqMtl2D6VMwvxqIHpPTXFPRVbGwQP74yTAg7RDR4J60MSljEgnxNQHYnOO1RXFtG_6UfZwEhrSLY8TOCkZTgIDZ8vR0RvPkmC5JGrQpuQfPb8vnTCvEzpikOR23cPBHgj43snMISb1ntFWGwmxxJ2zC0mHzdhnq_cXInPOayePjoAGhf-OZUVHyErnJ09lMQOgVRmF34vM-fyEf8Vr-5HXzVtaNm7aEEXu_wfZNOyBbG0tKXhCu2Ifxj9eRjpiSJEqDD7WJR_5D22uT8lt7e5BBpjQgXQUlzUtcP4YgCeFXePnApBolyy2hJaR2dnolLTT-fQZSua_TIFBH7PK6iMN1_OYa4NwQ8mMgRDLKaNZhGF_k3bqmnLUKgDvxePcrDYCnDi6Pfdx20k1KOVARgKNlPcxIVtqA9NuGaWzA-lsnrPJEetNZNTmFp_ygp4z7rEsRw3zQ=&p=3&fvj=1&vjs=3,"$61,832 a year",37.8043637,-122.2711137,Full Time,Data - Other
4474,Livie & Luca,Product and Data Coordinator,"Emeryville, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BYRINpoLQlLms_lUgv2XSQTLHiLQK1ElfXWx_-cUY6yFca5kfCCoyX3OfDTJlBIFBIDx70lOj_lGpcHgNes4KgIeYdXm79zwVyF_1-iSwAWc83ld7MURWH0lhe90jblCVkriAp8Rj_CVNc68IDO9zXtnq9IynOG-fab34WCoi_MnGoVdyIP2Zh_oylvcrH60bPOa1hk89v7icQh_7VPi_79DnfPFTpkhqGDKtar-NRupq5sLD5zEz0WO-kWrGF1Gp8MFU7Wpx7FWZFk0WI6P_DiMT3bADAJb9tBTtn3TBFW9FK-62w2mkGhUGtQVd38UR_WWW2ajjpf49GAXVGB49508N6vlfWAfdWLzQmc8E8EgfaXaeMtTOkG8oaunzs4fe5THplWtBz5WtbGFOcD-Y6qEFiRUX1cMwV01RMEHvg3O7CZo45URHkpr-IIF1aJFm8iWGIOj6oSyuHxTD77PvjWErXxiuAWHiTVw-S9GnIUmZ9bLMN9SRZwRyg92lptwY=&p=4&fvj=1&vjs=3,$20 - $25 an hour,37.831316,-122.2852473,Full Time,Data - Other
4475,"Institutional Real Estate, Inc.",Data Services Associate ,"San Ramon, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BAD84_jn85ci3kPtIVJsYnFpNPLIhNvZgy25Y7jbwohaTXHclZHS6iJe5PmuGGHj302R-Dup-cBypmR5itLjM_d059ezt0omvUQqK4A-6Gg2HztCLK72hPMWBrh9a7EHXF2ZIxwyJ7CuT3Zrj15If5RaNpaiNI-etnTUy1VtTGC1MhfredpeUWSo7dFJb8u7htDl7XBkHDA2iF8vYMqfLh0nazpfQNILSB1ldoi9hDhbUhy865eEZrBMWX6uaMdUERW1yTkIA3JDH2110eN827es3uaPKlpY4_hUTtOq4UWtbAE0lhh4oivi8EAIOKYOBN6x9_482m_ThZ9jUdvMU_eh2IRbfDHOD4jar3wfuBQCzZc2S1uq5rZzy_AMqumeCRURykSCotun50cIvpFf7wau52vLrB2TYXton0arKzIPJrB63kISYcPWkZLIaevyvxV8qm4GTmOhCGSMdCyOilBnfQO4XbssW_RWM-ihd4cZnSVwFPcPnQaxf1yPCcRnA=&p=5&fvj=1&vjs=3,Salary Estimate not available,37.7799273,-121.9780153,Full Time,Data - Other
4476,Safe Catch,Data Entry and Logistics Coordinator,"Sausalito, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CCdpVPLLMLqvYWeoRU1Q4Ci0DH7c1q2hKaaFrRY0Nhkg5VUpJZluHVgc2GrUSX6P_0jDebEdM_5C9BVtw6XVPjyeOVuyicywSNunNydTCGTwyJzguZpGAvPO7Hnevbar_I3-6v2Vhg_iiAZ1gbTg1WTbMaovN8axT_KWpC6IwAljIQRzZnKWOZGoSuY-ntwtn1Z0UnQXzHlrC4_qEFR14SDHIejIsK6MoJpXdebVFHCmIplNcG5M74Nng9DlAMTZ3LZs8E3W0QN-XFa3JJ20jbBoMElVZBEQdqBtTAGWjfUWImn92dKOyb_em71KzphZAKLp_o_F4N3sTjIznqN_q6mA4BuwtcsGn5b7qAoicxlrjmVEFY2ZCha3GDz6znA9LMWfcec9LiPxkyZFlQe4Sz8rzI796Wa6U24qg8WOkQGv8vDJgFOn5dlFUXAtzECuQ4on3y2U4-XV-c3VZUdF8_CsLaGCbX_u2iAA5GX6p9JlIWhPyJgZs2VFZuOPM7aNv1_E_AZtLCsE0Qa8e32pi6&p=6&fvj=1&vjs=3,"$55,000 - $60,000 a year",37.8590937,-122.4852507,Full Time,Data - Other
4477,"Biomarker Technologies, Inc.",Data Entry and Analysis Technician,"Rohnert Park, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dz2cZBvGpavQ4MlbaOYJAwcrxD8qXhWmLjt4_zsomU9roExIXWUfeP-FJzaYPSCcAkmZxb2Iqc-8LUsA3a9NSfzCQCRrZgq3bcUvtGyGlrsY0A3XDLxfjjOpLe954RMz8y177yexlj-tNwPvDzSJK9tv3-V-vaZevkEDJQbTwD-ss8MnG4oK7-1m2QzABZa28TVP4uhmDdbPyAL6Oft9VO6Jdo_RpKQ7IuiGx7-n1hPK1MJCKL46tZhYLAmEHOGgoioHPHo3mpKQa-YjmNznVgteM7Dse1D-kotapUOGjsoEuCp6YkHP6MmeUDB_XaDueRx8zCIAbAYrC5wEcKxl2qMqVCu3HTXdx5_FIP03qCbxZYvXNr4W5EUZgI1Xnq48PHWcKsENacyt01tzHWRwwZdD2xiUVV-TfysoVvwMvB41xGgr75zxxPgMP0csPTSmp1BiSXQGaw-29QC0sezlkYqOUkyEyjdRNZrgOsGtyLAXzeJWSaM2i-kNYPOliODCUTAz_taBVxsw==&p=7&fvj=1&vjs=3,"$31,200 - $34,000 a year",38.3396367,-122.7010984,Full Time,Data - Other
4527,Wag!,"Earn up to $1,250/ month walking dogs","San Francisco, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DS49wU-Nrh2jPsAS9jhWCq6bSm4zo48pW_WnPte91cr8W0I91uUcGrciU7phwcmriTxFWebEqoSvld_V8pN7fyBkkZQpx2FMI_heqD0tg0LHIbZDWMefrED_GeFpVoP1XDoGUfTq_GFobylC-LNnV2WwfzQ3lAkMAA-wP3Xt67dpeJllEy079oDtUnPWhlV8iY5wkP0CNvkLxA-uxgT5VUvzQwNA0OcFE2HYhPngH-xb3UCJ9snlFbsj7tkQ-UBNMDcpJBELdVYbWk2Qvuo703L9Yxu7ejG2cWLHwCpJSj-6Ih7OS2ZMMSU13WlqeLQAR1TBWbJwit5c4T4XGHG-WgvY_ZzIOAzAF1uEIEXmdTX_0qdFgZb1aCOe6HO-UimUh9gm-91ZE_6-h41fLFfyUkSxsGHY0DaVz0mRzRndZyW0yPu0zgy2V7ftb3hMeuoLXcmmUbvh4AvwFGB4PWPsKR4c8HshGbINIcO8VwdjPPN86VngztkFmc&p=0&fvj=1&vjs=3,"$1,250 a month",37.7749295,-122.4194155,Full Time,Other
4528,"Health Services & Benefit Administrators, Inc.",Data Analyst,"Dublin, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BO4NUdX-nGf25EKR6-BgGdnFt18DfS0VA3mERfyA_iFiQPRrWOoH01uya1y4qjjoRDBIoopGTkXSg_-y_mtFMIUTFACx1C_GgC4q14GnY8zst8kJZLib1jjg9IYEke4JLrZtqKVCGq4DTnNyFIopFLe0UWI3jTQHcQjGAN-LoZvIncRUaR2V9_1hkrNqbfExrP-ppnlzQ5znWxmzZcpYp9ksf-yqUtXcxpZSJZo6hdXDiDjnXrjPGovj3zU69astuCpQ9wfTpjSYp8v8c7Yql5ljmXGYYOaKHVigcRDcJbwd5XOqAYO98Jz30-IXBA3TfBKloMdNW928-yqWVci6pAQRs7GONrDhJqZXsxdiBQsEmXBd3KPS8Gm8F7D9FkWdiGlidw0nmnHzhWX4e2-wM-eFIBvEobVBEq_VVpWReJ5s31rHwcIY7yplzHRZVJg6VESX4KZpYktMD_L8Pljc1fzI-2My3_dFhfRRhZbBWSA_NXaz4HdaesBm81DN4XGa8=&p=1&fvj=1&vjs=3,"$60,000 - $68,000 a year",37.7021521,-121.9357918,Full Time,Data Analyst
4529,Funding Circle US,Talent Acquisition Partner - Tech,"San Francisco, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CxQlKr4N-gxhxagYSfO_p3DjIG0Frhi5iauBS0K8YXN3DexMwrM1rZo8jTeIxAsaAp_8PvHhEANO8QZ13xujAAPry2pcwPNGd2n1vDd-nELA_dhqLJUsSJgTfRyUNgImVUWtHUz02mugOhNrZ9fitGLw3TOaJdnQs6Floev7MLj1K7PXqAZ0W73WLTaiCudGGIGhPLpcpqHBdAtnKUM2hGRaCax6anDxAiirXyKxh-0dgQPfXt7tdcw-90uEcGK2hdGfSATBxy-XwOGn5JdOqH49i7-K0FSY6TJ3lzD3hh_osr_UZa6nMYFEkv9T3hft00nitWBAV4A2s0x7nLfxbcxnMtuvK2P5jBcVxjtR_V-I2ZHF3x49zqKivlNphsJk239w_Ltx5jXLd2EJwha6fLlcwagY2L90ZkK4ZELKo4_TJmQuG57IzYaJ_MZUVbe5HHX6-MiuTQDfDVc_Ucf3zF8zAGLIcsNEMuwwOEdwrrWNdyGR2JptfrKI1J-E3Wqsib5eDUYeAsC04Nno_OneMWNjvuE6ceLI6AmrLUqxD6U1xvToUW3eMXKCam2d0S9WLpBYTUMW9l3UTZv9SfZtzj8wsh8SPcBR4=&p=2&fvj=0&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Other
4530,SEIU UHW-West & Joint Employer Education Fund,Program Data Specialist,"Oakland, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BOVQCIPB2YlHaxcnK7beA-i4KZHn_vFUfbnGgTcXdzQSjqNu1CMyDohCjrjqMtl2D6VMwvxqIHpPTXFPRVbGwQP74yTAg7RDR4J60MSljEgnxNQHYnOO1RXFtG_6UfZwEhrSLY8TOCkZTgIDZ8vR0RvPkmC5JGrQqRbgJXjHiwAF4nu05zMVS0Afmofysp9cgniBnncWdk-fdCwH6x9GsAcXetnPaLBweSab0DwAUWqbloIrudk_2t-_tWTPpiHKzyNfbt5yxR4BVvB39uRXnGHvDw0Cwrz2UFsSlPNxf1G4FDwMZHikB_6swASCmGRQpXJbfDOygl_cNTL_dzOHBZpDsSqRk91qXQ5-9akdBIFUqu3ScohzuZAOacKlttnMbf6jTbcC7tHOP3e5lutxybADf5sTe_e5zeLy2XbNvEHTGgdVk9Emmq6W6CvmLXz5bm7CBbyi7CT8eRhesB_yLiWQ1LEtwXq4FIvqRR51JWxJv17Wy0lnq5jEPHRWx-92g=&p=3&fvj=1&vjs=3,"$61,832 a year",37.8043637,-122.2711137,Full Time,Data - Other
4531,Livie & Luca,Product and Data Coordinator,"Emeryville, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BYRINpoLQlLms_lUgv2XSQTLHiLQK1ElfXWx_-cUY6yFca5kfCCoyX3OfDTJlBIFBIDx70lOj_lGpcHgNes4KgIeYdXm79zwVyF_1-iSwAWc83ld7MURWH0lhe90jblCVkriAp8Rj_CVNc68IDO9zXtnq9IynOG-eINifqiQbO_cZHGdW7PZDh8Q61kFeNvI1X_QRnRvIu-p9lfKc4VWKfjNaWel0KbQHvdtLis5UkFIXXZoDL8AeQRXQ9vnr6IjLpkYNEi98KCBUIcgwQDD4KRCwcLH0r3XNVxGQSqva-0_lqlzqzFiGmb33IQEuUiNT33SYspW4LQecorY_qlFxu7Mo5lYVoKZNz8BfvYIQq57eL4FEc__sNSOO8n9v-CzBrG4LHZec4sUqMkORzUawjUVMlJ-LrVn4n1EbfTYggMdwCa5VZVrTeS43naJjcBXXmoj8yboqVg3uUiGO2XKbzeij0Bj3X__jd9YVwbaZjEFHsi7YP0N9_rX1u4TxnZyA=&p=4&fvj=1&vjs=3,$20 - $25 an hour,37.831316,-122.2852473,Full Time,Data - Other
4532,"Institutional Real Estate, Inc.",Data Services Associate ,"San Ramon, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BAD84_jn85ci3kPtIVJsYnFpNPLIhNvZgy25Y7jbwohaTXHclZHS6iJe5PmuGGHj302R-Dup-cBypmR5itLjM_d059ezt0omvUQqK4A-6Gg2HztCLK72hPMWBrh9a7EHXF2ZIxwyJ7CuT3Zrj15If5RaNpaiNI-esjp94eL3uYugieyow_O9QXVzSu3Cvzw8UahlmDPZCYB98kzMJ8AJh-nWes-QhAQa1N6ASKMwwpFLJyaOsbVDzKW_rxGvVYlk9-6UNAjGDZ6QscJE_xPtgGvOwi3XkVvNjGqKAUdAlbWuLWKtHlPCzP-gYHhz0i3KgYMhePBdr8G4druYVuZX3ERg_N_5hXk56m4vxJPMbIFW3eaWtVEEi2XZV6RgZT-vwO52I_zGszihNKi125F8ws9oFO-hWTgXFRmykEbWwLVECBdvJEm4zZyMr10vvJiYGbFrz27O5lYZ8EQHANsCPhROlzV1DJ5g-hDnA8qK4KwtgFqf__w12B4K21t8frlD8=&p=5&fvj=1&vjs=3,Salary Estimate not available,37.7799273,-121.9780153,Full Time,Data - Other
4533,Safe Catch,Data Entry and Logistics Coordinator,"Sausalito, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CCdpVPLLMLqvYWeoRU1Q4Ci0DH7c1q2hKaaFrRY0Nhkg5VUpJZluHVgc2GrUSX6P_0jDebEdM_5C9BVtw6XVPjyeOVuyicywSNunNydTCGTwyJzguZpGAvPO7Hnevbar_I3-6v2Vhg_iiAZ1gbTg1WTbMaovN8axSiT_gB-gMqjGXUgkvNK7tgT-sGOjP93fyjn7G_Z4iS6HGqoeq-e9DiUG2_vn-erVqAmNaeM3bJ0Ooog5M7kCSZvU4ICH8OzfSVKSo2COPYXctD5dAeN7lIKaid265p4vlkH6wT8i_khaPiDXAoXZv_-fJyM9yaqn_7Dez6qyJ-qj3RQkvk_IDfUh3adC5X-uUCnC24O_u3Kt_x2_nECXgO-FqcrW9D2eYlx72krfpUYUr3d-stI_DCz4XwK88k8HTb1uS7f83KzCFSL0kKDpXwduVZ7QZHcMaur1sWmUVhPbwAJc8PigqmWQd4b8pTnrcAjHB1DOy6aHD8N33YGbqwgPb0EcrRMM40ehxGzrGgc5Le4_g5HDtD&p=6&fvj=1&vjs=3,"$55,000 - $60,000 a year",37.8590937,-122.4852507,Full Time,Data - Other
4534,"Biomarker Technologies, Inc.",Data Entry and Analysis Technician,"Rohnert Park, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dz2cZBvGpavQ4MlbaOYJAwcrxD8qXhWmLjt4_zsomU9roExIXWUfeP-FJzaYPSCcAkmZxb2Iqc-8LUsA3a9NSfzCQCRrZgq3bcUvtGyGlrsY0A3XDLxfjjOpLe954RMz8y177yexlj-tNwPvDzSJK9tv3-V-vaZeuoUeRcrNGqpqYmQLC-GXWBbSua_0wM_7KUoAScIWa50TjedMPAIUzWTgxerBY60C4PsRk_7oV6Ln5d_3MSC537MfA_8f6_JSWyf_aWUEWXUClfp4LxjNVbzR5Y2V0enGviCcnemHSl0Y4Hh16B4dmuhX0t9dKNcvLC7_T7F3j7EjQvzbbHgDd3257w3QAUdhw2PMiihMfSpeUwjokPdsVLMm6Onl1yUOjvR4ZkIC_ytctgexoOEWzdfDia0uitH4nmp3jw_eEwXOIE3Jahf3XW1zbS7AZTzTqU2ceULZ4moZM-1VHIdQucZoCxjJTZPcfe2VePaOPyMn8qKCuJ8h9ys2sOTmci98EZ5jnPVk7k-g==&p=7&fvj=1&vjs=3,"$31,200 - $34,000 a year",38.3396367,-122.7010984,Full Time,Data - Other
4584,Wag!,"Earn up to $1,250/ month walking dogs","San Francisco, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DS49wU-Nrh2jPsAS9jhWCq6bSm4zo48pW_WnPte91cr8W0I91uUcGrciU7phwcmriTxFWebEqoSvld_V8pN7fyBkkZQpx2FMI_heqD0tg0LHIbZDWMefrED_GeFpVoP1XDoGUfTq_GFobylC-LNnV2ufaq7iSHQi1NRvi-SNhUmwSOTtbZioaERuh4_DNefNOw0Gp3m2-jtzO7fmWwHgYtRpV8a2uL0ki-xsvf9znB2Qzr5NeKBTGhn-SNjMzpdo4ZPiQ7rBeYv1pfjk91AINQ5gw8d10Uwqwg1I93-xDJxNmFmNIniJGD7RtKDGMNcUE1RgBTGM0zo2x22JGEqsQQUcwMAnQv58iA1OsBziOHLJ7l0FshyrPc-ALOFEJnj8z9hKz4IXeFTxwll_1nnrbYdB5im0yPJ_VY0x7Et8XDf_CdrolkNdbV4OL8XcBwLu7N3LWUMD_LxWi_ZTnSsd9vsqwretVQeHIUHnti_9qLBAZInMOr1Czl&p=0&fvj=1&vjs=3,"$1,250 a month",37.7749295,-122.4194155,Full Time,Other
4585,Livie & Luca,Product and Data Coordinator,"Emeryville, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BYRINpoLQlLms_lUgv2XSQTLHiLQK1ElfXWx_-cUY6yFca5kfCCoyX3OfDTJlBIFBIDx70lOj_lGpcHgNes4KgIeYdXm79zwVyF_1-iSwAWc83ld7MURWH0lhe90jblCVkriAp8Rj_CVNc68IDO9zXtnq9IynOG-fo6MdoxngwW9KeMjS9xiAhBKnFGOB_mV5AdPW0HoKIoISq7qw90pzOiUoQewl0NgtJ6xtQAPKUe2aW143E-35tMHUigW8ZFQW7nu_nreaaOKMQJ68CFrC3-35rwImHztg9Exkr197oJLskJGsQFkf2fa64devtqHEnNk4NXz41B4G8taPg7o-iJ4n6NH7GR7FP_QlX1TsU7V1keEapS8sjUB1_guvpS3VEwLRAx3lJCu3WEby1ItYblq6MbzvU_58UdzN_9oMZd1lFhnHzd73GgJgdOdewPki7RAmk49esnWc0mJCxtRViCQSQtyIApNRtm1djKGCU5LdAzuM5xzW9ETwxT3Bjdzo=&p=1&fvj=1&vjs=3,$20 - $25 an hour,37.831316,-122.2852473,Full Time,Data - Other
4586,"Raybeam, Inc.",SQL Data Analyst,"Mountain View, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DpZ-PB5xWxfUrl162oOY4eAwFszP2Qe-6MnJIaEBLI10s9Od92clv11o1CLhYxaGbh_ouWLqW5mOU3qlig9ffXdZQVWDxtntUH3uxhoONs9R5doBpRr1d1UhhraAAVjLjJ0H8m1maOHB1IQ9K33IEuIYYAsrLezMUdIU_peEsQG6GHUmtfWJENFbWgIFoHtY8qvgie67JmQGF5ypvBPPaf7JW4La9eX0BMWEZNNQU5fwtY_UaXtwZI5SlBVHwJJk_cXq0p0c6xQYo7qC0HLzw-alv4CrYHIZ40hEEBJ0wwx0aya6PPEscDg7858oV0Vrn1rPCBI28uSjg2_JgpYZCHpy-4csA8RO4IrK42MJ28GS1BK3h1v6lz7lRu5vRpdR0tHP6L62IqGYbtSLyUWtDzwTNPICFeVmaaE1guW_CYAke-ZwhsArvomiiBvpU4Qen518_q-5dwRWq5LCj3vq4y79KQFk7uxX8XcDd6awijWg==&p=2&fvj=1&vjs=3,Salary Estimate not available,37.3860517,-122.0838511,Full Time,Data Analyst
4587,"Health Services & Benefit Administrators, Inc.",Data Analyst,"Dublin, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BO4NUdX-nGf25EKR6-BgGdnFt18DfS0VA3mERfyA_iFiQPRrWOoH01uya1y4qjjoRDBIoopGTkXSg_-y_mtFMIUTFACx1C_GgC4q14GnY8zst8kJZLib1jjg9IYEke4JLrZtqKVCGq4DTnNyFIopFLe0UWI3jTQHcZMBakjSdMXcmi7lnR6q7mxKneQIXZx4ztcxGCxiAI_Cuaj1vupFkvADUxwj7N6SQDvPQFHTXj_p8gXqUZSZpA_3KdB4NLNyZpTK90G4TZExyS2JuQum0HGObPn57YDoGLTQItSGvjtE0miF7Bm2yU1Yk3602Pbihwl60vuTZIjF0v7QhNJJPhgskDavmybwbubx_kWihCBjM8HVXCev03nSOVdnOsqX5F2_jQbev_URhqrCIkMrpFtWKKhAstEVYvx_dER3S-xD2M3MkJpQYngVjvD67-waLVA80Qo7BctKW0e-D3lKMi8JqBvn9OkvJobtUqtMHHF0tQOOepZ3MVBvUUTzelUAQ=&p=3&fvj=1&vjs=3,"$60,000 - $68,000 a year",37.7021521,-121.9357918,Full Time,Data Analyst
4588,"Institutional Real Estate, Inc.",Data Services Associate ,"San Ramon, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BAD84_jn85ci3kPtIVJsYnFpNPLIhNvZgy25Y7jbwohaTXHclZHS6iJe5PmuGGHj302R-Dup-cBypmR5itLjM_d059ezt0omvUQqK4A-6Gg2HztCLK72hPMWBrh9a7EHXF2ZIxwyJ7CuT3Zrj15If5RaNpaiNI-etsZDcNRMWDYLf2z2094TQgY-bJDcKx8tt_XMyNkvcPuOSQah5NuEmgwalC-SHwIbLk-Qp9LdG--JoGgM8WrUxhSLEnmZjKnD6C045KipMXd5mJLypSx1KKlVc90hzZ0e2TDp3uhczpET-PeYiKHMteFmSqiYdEG_hYnj9wGCZ2XD3E37jkP5HIM2LlTfMiUGGt6vHClhUq4Yv2niDavQw7PTpeWmu472PPz48Kq9dU-1HsUeKnn0ROuHrfIO934keJXoVYgfmue1g8Eq-Mkq5gbTvmOi5VztObEgRx3SaXrUMw6SnZFKVjRAzH0C11RE-GCZeKVMPg6PEs7-xT9R7O7-TUZpGdUuk=&p=4&fvj=1&vjs=3,Salary Estimate not available,37.7799273,-121.9780153,Full Time,Data - Other
4589,SEIU UHW-West & Joint Employer Education Fund,Program Data Specialist,"Oakland, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BOVQCIPB2YlHaxcnK7beA-i4KZHn_vFUfbnGgTcXdzQSjqNu1CMyDohCjrjqMtl2D6VMwvxqIHpPTXFPRVbGwQP74yTAg7RDR4J60MSljEgnxNQHYnOO1RXFtG_6UfZwEhrSLY8TOCkZTgIDZ8vR0RvPkmC5JGrQq-_duLjnY9JRyjDNhyHKiw4nSMRiQOY8_Cz8yY5uedfGOvS12MQqEDgEx2116pSHvqlVb6X60L-c3iziIZPFrHrksjN-gTNPnWJFtqYuOsbHAomA6iV7BOye-1VfBoMw9BNHg4u3-1VP0lb4XMCPnDUIez1aH8YlxD4HEG30PRGvRinrRfWWsZhaHcHle5kYgn1yglhMNLaAC0sJKgeQI-nb5Abyfh2Zfl5ycCDzu3WaKce5vmyW72T4Py00Db_alH-E82NeQ7ufKwTEVLrq52pYUVW3xlUvUMgusns1qJfInxdGrtCZekZFARwU7efhUpviQXAD_rtlL95Q4-qpKqaKq9YqhSxdI=&p=5&fvj=1&vjs=3,"$61,832 a year",37.8043637,-122.2711137,Full Time,Data - Other
4590,Safe Catch,Data Entry and Logistics Coordinator,"Sausalito, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CCdpVPLLMLqvYWeoRU1Q4Ci0DH7c1q2hKaaFrRY0Nhkg5VUpJZluHVgc2GrUSX6P_0jDebEdM_5C9BVtw6XVPjyeOVuyicywSNunNydTCGTwyJzguZpGAvPO7Hnevbar_I3-6v2Vhg_iiAZ1gbTg1WTbMaovN8axSqlPXAGW9TdAkxzEKw3ZRjoTtZGRUZmpahESmxbzKefr1JM3mC2lyZLqpBXmJUyVZZdXt4NdK2FRurU--GcgtwOWEvZIEi8n_t_SYEDfffANkDhSSh5PMt23D8PbdznrreBNGhEhyqyxnFZXhCs5hR1nHC0wm8zBmuFI4KRJz3vISRxQYoIDDe-RbSmQ-DodsuIg9VaQQSlvR1Uz_7YFr1fqzkvUAE52uktQEUfFdXCzyl4qoM4k04EaJ-cDG9O8NEwOsPfN44tfNuHhWADbVPQCn_ESwRAqa6MqgWK1yMOGGgOWsU7t1KDUY2RZ59fAVo2NQkR_siwpZGdrCwxUjvhv_VPo5fYCygRpjbOMpuQpGqyFjBXdl5&p=6&fvj=1&vjs=3,"$55,000 - $60,000 a year",37.8590937,-122.4852507,Full Time,Data - Other
4591,Funding Circle US,Talent Acquisition Partner - Tech,"San Francisco, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CxQlKr4N-gxhxagYSfO_p3DjIG0Frhi5iauBS0K8YXN3DexMwrM1rZo8jTeIxAsaAp_8PvHhEANO8QZ13xujAAPry2pcwPNGd2n1vDd-nELA_dhqLJUsSJgTfRyUNgImVUWtHUz02mugOhNrZ9fitGk53wSO3RdYBNaaTKsBgkihw57U-jnbD2Q8tfIyUq1kAIhgqxfSR2iOEfgRLb65qr9H5Mto-gCw3_aBmpp4mj9lwUhvB8UTpL3C-iV-KvJLPz_AHMvY-SR15d6Azimo0NnZ4etOKWVQbYEvoI86gjkY5ARK4R8Htgy2cBQs9KHVc3fFqKVCgJnsnDJhjadnmT4me37R7yazOVfhuATwN2xH7Wah8YtKQ46SUg-JYpTYvw7F7EyNau_6ES75cViUBEOSCOatCoe-oqWM2_ZhlYgR1hicRdBRa4531zseE9JRwhsR5Cw8wx7okIq7KKcWsXJAmt-BRNAGXvMXSqy2HjNLPMYFByb-0S87ayPR5YmekRQA7-aFI07AuACvXOrPrqlPHXvLVlnjXF9av9O41h_lWbWnxf4jRBHy3-JQ3vVw5TrKzgXbJn7jpGGFE9Xp0p-VQALrXRPwg=&p=7&fvj=0&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Other
4592,ALOM Technologies,Data Analyst,"Fremont, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ApKX8Ly9Su4u7-E_iwX0TUS6BcV45_p-Corjom3hBaTnmPEalDKrG5iKXJu48gG1FaCnLp3JpOnCuZGo0yDeMWlR6NWrS3yBWZL0uoaTzuefzSF_1jTp-kCaI1VyYli0RPzcLbpBFw4XW0MHXJVsGn_iQJ6XZlAjUDJGRHOWT35-Ms7aHzNdq63F_AVHlg-4VbZCzUmuL3El7YNlxaF_NLLILqT_bDAn7Sssb9IpxD4Rmb3ku8Prid5OE7PC2A5i5-MLfJk_5XF7wIS_EXxw0aeDMzkNGmjnVyIGUIimgEo5_YnYLpVSq-KwCaQP89BomSzhkXRA3dDwrhsgCZMrk3s-l0HxeUsGq_eX35qn8xuuGsn1jsg3AVJPyl-AmbKRKlSKUZgOEgusFV9y-fuZTDn1aQJmFrrsshTrQZ79lIdz0prs7C8ZF8kJ_x8lD2qrOlJY1mu-tp1rLquTUy-aklJDaOSbeSarJCnQgq5wZVtg==&p=8&fvj=1&vjs=3,Salary Estimate not available,37.5482697,-121.9885719,Full Time,Data Analyst
